Wall time,Step,Value
1770986060.681369,0,2006.0
1770986063.2482018,1,4057.0
1770986065.7064557,2,6161.0
1770986068.0786288,3,8251.0
1770986070.561079,4,10259.0
1770986072.9517555,5,12259.0
1770986075.4921436,6,14321.0
1770986078.449874,7,16351.0
1770986081.5604944,8,18359.0
1770986084.4274974,9,20452.0
1770986087.389482,10,22463.0
1770986090.0600827,11,24471.0
1770986092.807179,12,26536.0
1770986095.3463137,13,28538.0
1770986097.9646986,14,30620.0
1770986100.5469959,15,32688.0
1770986103.70167,16,34722.0
1770986106.7624438,17,36747.0
1770986109.6051288,18,38757.0
1770986112.6803854,19,40836.0
1770986115.3298228,20,42872.0
1770986117.9630325,21,44921.0
1770986120.6146255,22,46939.0
1770986123.2708004,23,48961.0
1770986125.9863648,24,50987.0
1770986128.628293,25,53004.0
1770986131.1471956,26,55021.0
1770986133.737902,27,57100.0
1770986136.4020839,28,59130.0
1770986139.1680696,29,61196.0
1770986141.9181266,30,63220.0
1770986144.6697385,31,65249.0
1770986147.3472419,32,67278.0
1770986151.2012284,33,69743.0
1770986153.8912861,34,71778.0
1770986156.68413,35,73816.0
1770986159.4835749,36,75903.0
1770986163.6090271,37,78253.0
1770986168.3528693,38,80416.0
1770986172.3842537,39,82609.0
1770986176.092959,40,84689.0
1770986180.3242264,41,86828.0
1770986185.725482,42,89540.0
1770986190.3125525,43,91740.0
1770986194.4874394,44,93987.0
1770986204.3833654,45,96526.0
1770986208.2170458,46,98711.0
1770986212.2813666,47,100852.0
1770986217.5487185,48,103262.0
1770986223.189447,49,105262.0
1770986227.371136,50,107347.0
1770986231.6760435,51,109430.0
1770986237.8006234,52,111430.0
1770986244.0570173,53,113641.0
1770986249.498919,54,115830.0
1770986256.7451851,55,118607.0
1770986262.013655,56,120939.0
1770986266.1080081,57,123476.0
1770986272.5283732,58,126046.0
1770986279.6682675,59,128533.0
1770986285.0103717,60,130802.0
1770986291.0864913,61,132968.0
1770986298.0031621,62,135420.0
1770986303.6297677,63,137963.0
1770986308.0204773,64,140476.0
1770986312.9656239,65,142543.0
1770986318.0608666,66,145275.0
1770986322.7712624,67,147637.0
1770986326.8782952,68,149840.0
1770986331.2526033,69,152142.0
1770986335.2243147,70,154522.0
1770986340.637911,71,156713.0
1770986345.659696,72,159675.0
1770986351.2367158,73,161875.0
1770986355.9040325,74,164109.0
1770986360.8020983,75,166109.0
1770986366.8370097,76,168430.0
1770986372.6229289,77,170891.0
1770986378.319086,78,173203.0
1770986383.3983042,79,175419.0
1770986388.1859822,80,178027.0
1770986392.1576335,81,180310.0
1770986397.3680358,82,182866.0
1770986402.1266146,83,185621.0
1770986406.5898747,84,187677.0
1770986412.297551,85,190302.0
1770986416.8987484,86,192348.0
1770986422.1666644,87,194592.0
1770986427.9758697,88,197267.0
1770986433.7052991,89,199267.0
1770986440.103819,90,201660.0
1770986445.814387,91,203660.0
1770986452.2509031,92,205660.0
1770986458.426667,93,207660.0
1770986465.257927,94,210158.0
1770986470.1970847,95,212158.0
1770986476.6576545,96,214882.0
1770986485.0623498,97,217610.0
1770986490.9580314,98,219899.0
1770986496.5306814,99,222220.0
1770986502.6577754,100,224220.0
1770986508.3444214,101,226593.0
1770986514.3804693,102,228876.0
1770986520.3213592,103,230876.0
1770986525.834053,104,232876.0
1770986535.4855578,105,234876.0
1770986542.1006026,106,237224.0
1770986548.6379764,107,240021.0
1770986554.2857802,108,242021.0
1770986560.2700562,109,244021.0
1770986566.8281841,110,246466.0
1770986572.6014142,111,248466.0
1770986577.5719378,112,250466.0
1770986583.3498414,113,252466.0
1770986588.070892,114,254466.0
1770986593.9259126,115,256466.0
1770986600.0729651,116,258466.0
1770986605.9046378,117,260466.0
1770986611.5452933,118,263458.0
1770986616.448496,119,265665.0
1770986622.289242,120,268545.0
1770986626.9515052,121,270841.0
1770986632.5457227,122,273060.0
1770986637.7024815,123,275060.0
1770986644.7152264,124,277321.0
1770986651.6026425,125,279321.0
1770986657.6466968,126,281321.0
1770986662.7364538,127,283457.0
1770986668.6284466,128,285728.0
1770986674.1317694,129,287936.0
1770986678.6244042,130,289936.0
1770986683.8639016,131,291936.0
1770986690.1526728,132,294215.0
1770986695.2799404,133,296481.0
1770986699.5086524,134,298750.0
1770986704.266246,135,301189.0
1770986709.0297663,136,303189.0
1770986713.7396822,137,305189.0
1770986717.6095412,138,307407.0
1770986723.6370616,139,310055.0
1770986729.0879893,140,312055.0
1770986734.5242171,141,314556.0
1770986740.4346142,142,316827.0
1770986746.2646503,143,319668.0
1770986750.8790145,144,321668.0
1770986755.1684742,145,323668.0
1770986760.2731862,146,325668.0
1770986765.6477711,147,327997.0
1770986770.6774578,148,329997.0
1770986776.9074726,149,332382.0
1770986781.5321274,150,335066.0
1770986785.815658,151,337066.0
1770986790.1378064,152,339557.0
1770986794.250328,153,341914.0
