Wall time,Step,Value
1770998302.947993,0,5004.0
1770998306.0794702,1,10011.0
1770998309.0947783,2,15034.0
1770998312.0450292,3,20044.0
1770998315.2799377,4,25091.0
1770998318.2894275,5,30143.0
1770998321.2906425,6,35152.0
1770998324.1555216,7,40163.0
1770998327.2345912,8,45212.0
1770998330.3250012,9,50233.0
1770998333.473676,10,55320.0
1770998336.5888896,11,60409.0
1770998339.5658808,12,65456.0
1770998342.6477199,13,70456.0
1770998345.7112648,14,75539.0
1770998348.6041255,15,80607.0
1770998351.7265334,16,85685.0
1770998354.8811429,17,90721.0
1770998358.1781852,18,95766.0
1770998361.1392448,19,100785.0
1770998364.2774198,20,105797.0
1770998367.45887,21,110867.0
1770998370.5333924,22,115930.0
1770998373.8237593,23,121058.0
1770998376.927975,24,126096.0
1770998380.3635085,25,131336.0
1770998383.4701908,26,136389.0
1770998386.6264632,27,141459.0
1770998389.763924,28,146609.0
1770998392.656661,29,151754.0
1770998395.2870462,30,156841.0
1770998398.3288133,31,161917.0
1770998401.4418447,32,167151.0
1770998404.4542103,33,172246.0
1770998407.5836446,34,177403.0
1770998410.7107875,35,182619.0
1770998413.7583997,36,187687.0
1770998416.8985128,37,192875.0
1770998420.0055099,38,198043.0
1770998423.1487846,39,203071.0
1770998426.4386284,40,208275.0
1770998429.9044747,41,213735.0
1770998433.2378707,42,219049.0
1770998436.8994427,43,224365.0
1770998439.996982,44,229365.0
1770998443.4668047,45,234830.0
1770998446.820876,46,239830.0
1770998450.5651066,47,245168.0
1770998453.9167392,48,250168.0
1770998457.6602473,49,256117.0
1770998460.9446037,50,261396.0
1770998464.3578684,51,266511.0
1770998467.500302,52,271511.0
1770998470.662421,53,276511.0
1770998474.1523595,54,281511.0
1770998477.6911597,55,286937.0
1770998480.9678252,56,292465.0
1770998484.6423485,57,297562.0
1770998489.3499641,58,302886.0
1770998494.2747111,59,307937.0
1770998499.2094526,60,312937.0
1770998504.1887658,61,317937.0
1770998509.189124,62,322937.0
1770998514.1791623,63,327937.0
1770998519.2285535,64,332937.0
1770998524.0739198,65,337937.0
1770998529.0836415,66,342937.0
1770998534.176043,67,347937.0
1770998539.2836864,68,352937.0
1770998544.20957,69,357937.0
1770998549.190205,70,362937.0
1770998554.5836608,71,367937.0
1770998557.9071834,72,372937.0
1770998561.2387707,73,377937.0
1770998564.1370106,74,382937.0
1770998567.3762546,75,387983.0
1770998570.8554397,76,393212.0
1770998574.064246,77,398212.0
1770998577.4533734,78,403212.0
1770998580.9138489,79,408212.0
1770998584.3798983,80,413212.0
1770998587.761885,81,418212.0
1770998590.8300738,82,423212.0
1770998594.295246,83,428549.0
1770998597.6690137,84,433601.0
1770998601.4716363,85,439575.0
1770998604.853347,86,444575.0
1770998608.230756,87,449575.0
1770998611.4792995,88,454575.0
1770998614.7303603,89,459575.0
1770998618.179178,90,464575.0
1770998621.4775343,91,469575.0
1770998624.9068673,92,474575.0
1770998628.2223058,93,479575.0
1770998631.4006362,94,484593.0
1770998634.4383867,95,489824.0
1770998637.5528224,96,494826.0
1770998640.7952845,97,499826.0
1770998643.746137,98,504839.0
1770998646.848262,99,509906.0
