Wall time,Step,Value
1770998966.39725,0,13.322580337524414
1770998970.2271776,1,20.149999618530273
1770998974.0180378,2,20.399999618530273
1770998977.8146744,3,29.14285659790039
1770998981.5958154,4,31.0
1770998985.353728,5,36.3636360168457
1770998989.1339004,6,29.214284896850586
1770998992.900625,7,28.571428298950195
1770998996.7018383,8,27.399999618530273
1770999000.4761558,9,41.79999923706055
1770999004.3014376,10,44.79999923706055
1770999008.0881062,11,59.57143020629883
1770999011.8421407,12,68.0
1770999015.6112673,13,104.25
1770999019.386146,14,108.0
1770999023.9434848,15,108.0
1770999027.6871269,16,69.16666412353516
1770999031.4591339,17,115.5
1770999035.19883,18,80.80000305175781
1770999038.93214,19,138.6666717529297
1770999042.665889,20,109.5
1770999046.5126944,21,82.5
1770999050.2911913,22,101.0
1770999054.034304,23,87.4000015258789
1770999057.8013947,24,91.80000305175781
1770999061.5460536,25,152.6666717529297
1770999065.45603,26,113.80000305175781
1770999069.2672024,27,159.6666717529297
1770999073.046998,28,147.0
1770999076.8248372,29,104.75
1770999080.6032152,30,152.0
1770999084.4308069,31,239.0
1770999088.8909373,32,238.0
1770999092.7284093,33,141.0
1770999096.6262019,34,160.3333282470703
1770999100.4964242,35,134.25
1770999104.2696788,36,141.0
1770999108.11224,37,275.0
1770999111.9393802,38,520.0
1770999116.242464,39,1000.0
1770999120.3194785,40,414.0
1770999124.7798648,41,720.0
1770999128.684909,42,486.0
1770999132.9652283,43,495.5
1770999137.2483144,44,947.0
1770999141.8929493,45,1000.0
1770999146.2761536,46,1000.0
1770999150.7900171,47,355.0
1770999155.5648355,48,403.5
1770999159.669422,49,1000.0
1770999163.7233965,50,1000.0
1770999167.7722907,51,1000.0
1770999172.370272,52,1000.0
1770999176.140947,53,207.0
1770999180.3492901,54,482.0
1770999185.046202,55,1000.0
1770999189.548449,56,1000.0
1770999193.700835,57,1000.0
1770999197.5235357,58,168.5
1770999201.2016184,59,67.5
1770999204.96357,60,58.71428680419922
1770999208.6312385,61,66.66666412353516
1770999212.5761359,62,408.5
1770999216.731724,63,1000.0
1770999221.9871218,64,1000.0
1770999225.2108347,65,1000.0
1770999228.5480132,66,1000.0
1770999231.4158692,67,1000.0
1770999235.4089231,68,1000.0
1770999239.410219,69,1000.0
1770999243.412544,70,1000.0
1770999247.419566,71,1000.0
1770999251.422849,72,1000.0
1770999255.4287126,73,1000.0
1770999259.4261112,74,1000.0
1770999263.43343,75,1000.0
1770999267.1989446,76,326.0
1770999271.0483892,77,179.6666717529297
1770999274.803619,78,190.6666717529297
1770999278.8908165,79,1000.0
1770999282.8718052,80,1000.0
1770999286.8609736,81,1000.0
1770999290.8536503,82,1000.0
1770999294.892386,83,1000.0
1770999299.6885247,84,1000.0
1770999303.6605227,85,1000.0
1770999307.6415539,86,1000.0
1770999311.6035316,87,1000.0
1770999315.564215,88,1000.0
1770999319.759879,89,1000.0
1770999324.0744646,90,1000.0
1770999328.2118685,91,350.6666564941406
1770999332.4718838,92,905.0
1770999336.6093729,93,1000.0
1770999340.5864809,94,1000.0
1770999344.565016,95,1000.0
1770999348.5473526,96,1000.0
1770999352.5253353,97,1000.0
1770999356.51489,98,1000.0
1770999360.4883735,99,1000.0
