Wall time,Step,Value
1770998966.4032393,0,5005.0
1770998970.2319603,1,10022.0
1770998974.0232046,2,15026.0
1770998977.818812,3,20032.0
1770998981.5995038,4,25055.0
1770998985.3572266,5,30082.0
1770998989.1374805,6,35093.0
1770998992.9045346,7,40106.0
1770998996.7052681,8,45153.0
1770999000.4797027,9,50163.0
1770999004.3052752,10,55189.0
1770999008.091577,11,60219.0
1770999011.8459148,12,65227.0
1770999015.6155233,13,70241.0
1770999019.3907635,14,75329.0
1770999023.9475946,15,80340.0
1770999027.691647,16,85376.0
1770999031.4631443,17,90405.0
1770999035.2026255,18,95418.0
1770999038.9363048,19,100428.0
1770999042.6700308,20,105432.0
1770999046.5166867,21,110553.0
1770999050.295465,22,115674.0
1770999054.0408766,23,120718.0
1770999057.8055637,24,125756.0
1770999061.550106,25,130778.0
1770999065.460193,26,135920.0
1770999069.2713253,27,140979.0
1770999073.0513878,28,146059.0
1770999076.8294194,29,151142.0
1770999080.6074927,30,156188.0
1770999084.4351256,31,161303.0
1770999088.894819,32,166377.0
1770999092.7324188,33,171590.0
1770999096.630034,34,176848.0
1770999100.5003932,35,182000.0
1770999104.2736092,36,187122.0
1770999108.1159687,37,192228.0
1770999111.9432986,38,197322.0
1770999116.2463837,39,202689.0
1770999120.3237944,40,207856.0
1770999124.784253,41,213705.0
1770999128.6892207,42,218957.0
1770999132.9694996,43,224267.0
1770999137.2525177,44,229612.0
1770999141.8971212,45,235458.0
1770999146.2804172,46,240886.0
1770999150.7946043,47,246818.0
1770999155.5692606,48,251964.0
1770999159.67344,49,257048.0
1770999163.7281084,50,262048.0
1770999167.7766173,51,267048.0
1770999172.3742304,52,272861.0
1770999176.1451826,53,278027.0
1770999180.3536844,54,283299.0
1770999185.0504928,55,289241.0
1770999189.5524828,56,294910.0
1770999193.7049873,57,299910.0
1770999197.5276768,58,304910.0
1770999201.2056632,59,309943.0
1770999204.9674478,60,315104.0
1770999208.634863,61,320121.0
1770999212.5804539,62,325149.0
1770999216.7359104,63,330277.0
1770999221.990783,64,335816.0
1770999225.2158768,65,340816.0
1770999228.5684164,66,345816.0
1770999231.4193113,67,350816.0
1770999235.4124107,68,355816.0
1770999239.414039,69,360816.0
1770999243.4162931,70,365816.0
1770999247.4235685,71,370816.0
1770999251.4262433,72,375816.0
1770999255.4317238,73,380816.0
1770999259.4297602,74,385816.0
1770999263.4365845,75,390816.0
1770999267.2018986,76,395816.0
1770999271.0515444,77,401045.0
1770999274.8067162,78,406111.0
1770999278.8942046,79,411222.0
1770999282.87499,80,416222.0
1770999286.8640473,81,421222.0
1770999290.8574848,82,426222.0
1770999294.8958144,83,431222.0
1770999299.6928236,84,436222.0
1770999303.6643765,85,441222.0
1770999307.6446774,86,446222.0
1770999311.6066957,87,451222.0
1770999315.5673552,88,456222.0
1770999319.762892,89,461556.0
1770999324.078195,90,467072.0
1770999328.2153304,91,472265.0
1770999332.4753587,92,477799.0
1770999336.613416,93,483024.0
1770999340.590794,94,488024.0
1770999344.5692332,95,493024.0
1770999348.551324,96,498024.0
1770999352.5292923,97,503024.0
1770999356.5184362,98,508024.0
1770999360.4914389,99,513024.0
