Wall time,Step,Value
1770998302.9421299,0,16.83333396911621
1770998306.0734916,1,25.0
1770998309.0893471,2,42.099998474121094
1770998312.039299,3,34.66666793823242
1770998315.2740428,4,40.5
1770998318.2832816,5,55.0
1770998321.2851555,6,41.099998474121094
1770998324.1497126,7,38.272727966308594
1770998327.229251,8,75.83333587646484
1770998330.3190138,9,62.57143020629883
1770998333.4661686,10,59.14285659790039
1770998336.583711,11,59.57143020629883
1770998339.5604365,12,67.28571319580078
1770998342.6426325,13,87.16666412353516
1770998345.7055645,14,61.14285659790039
1770998348.5985997,15,87.0
1770998351.7212284,16,68.66666412353516
1770998354.8753195,17,105.75
1770998358.173238,18,124.25
1770998361.1341174,19,83.80000305175781
1770998364.2716775,20,124.75
1770998367.4531658,21,106.5
1770998370.5279016,22,90.5999984741211
1770998373.8180196,23,112.75
1770998376.9222996,24,141.25
1770998380.3581889,25,125.5
1770998383.4655097,26,131.0
1770998386.6210794,27,119.25
1770998389.7580817,28,151.5
1770998392.6513798,29,219.0
1770998395.281945,30,166.3333282470703
1770998398.323852,31,196.0
1770998401.4368596,32,198.0
1770998404.44904,33,226.0
1770998407.578356,34,272.5
1770998410.7052786,35,424.0
1770998413.7535088,36,280.5
1770998416.893736,37,714.0
1770998419.9999232,38,571.0
1770998423.143987,39,364.0
1770998426.4329042,40,579.0
1770998429.8993685,41,352.0
1770998433.2324932,42,1000.0
1770998436.8938944,43,1000.0
1770998439.9915202,44,645.0
1770998443.4612646,45,1000.0
1770998446.8155046,46,1000.0
1770998450.5595958,47,558.0
1770998453.9113235,48,1000.0
1770998457.6550918,49,926.0
1770998460.9395163,50,1000.0
1770998464.3520236,51,1000.0
1770998467.4948404,52,1000.0
1770998470.6569002,53,1000.0
1770998474.1473982,54,561.5
1770998477.6857262,55,715.0
1770998480.9625082,56,68.0
1770998484.6371248,57,60.5
1770998489.3442507,58,250.0
1770998494.2692304,59,1000.0
1770998499.2037704,60,1000.0
1770998504.1836033,61,1000.0
1770998509.1834555,62,1000.0
1770998514.1731946,63,1000.0
1770998519.2228446,64,1000.0
1770998524.0681703,65,1000.0
1770998529.0786881,66,1000.0
1770998534.170682,67,1000.0
1770998539.2786553,68,1000.0
1770998544.2046318,69,1000.0
1770998549.185373,70,1000.0
1770998554.5774965,71,1000.0
1770998557.901381,72,1000.0
1770998561.2334313,73,1000.0
1770998564.1316593,74,502.0
1770998567.3704522,75,519.0
1770998570.8500109,76,1000.0
1770998574.0584574,77,1000.0
1770998577.4482355,78,1000.0
1770998580.9078622,79,1000.0
1770998584.3743827,80,1000.0
1770998587.756616,81,1000.0
1770998590.8253996,82,275.0
1770998594.2897818,83,261.3333435058594
1770998597.6635015,84,1000.0
1770998601.467009,85,1000.0
1770998604.8479545,86,1000.0
1770998608.2255216,87,1000.0
1770998611.4742467,88,1000.0
1770998614.7255042,89,1000.0
1770998618.1738281,90,1000.0
1770998621.4720926,91,1000.0
1770998624.9017465,92,1000.0
1770998628.2170966,93,253.25
1770998631.3951893,94,41.25
1770998634.4330716,95,3.539823055267334
1770998637.5477707,96,4.112245082855225
1770998640.790165,97,34.769229888916016
1770998643.7417252,98,144.3333282470703
1770998646.8432121,99,218.6666717529297
