Wall time,Step,Value
1770974941.1240275,0,60.85714340209961
1770974942.0490904,1,62.71428680419922
1770974942.925003,2,88.0
1770974943.7752721,3,72.66666412353516
1770974944.6485345,4,96.5999984741211
1770974945.5634663,5,118.25
1770974946.5049188,6,157.6666717529297
1770974947.4125464,7,200.0
1770974948.3230903,8,200.0
1770974949.2898867,9,200.0
1770974950.198087,10,200.0
1770974951.0853214,11,200.0
1770974952.0237198,12,200.0
1770974953.1089122,13,200.0
1770974954.0374088,14,200.0
1770974954.9161744,15,200.0
1770974955.8293684,16,200.0
1770974956.7675533,17,199.6666717529297
1770974957.635453,18,200.0
1770974958.514921,19,197.3333282470703
1770974959.418126,20,196.3333282470703
1770974960.2415733,21,200.0
1770974961.1684668,22,200.0
1770974962.0040154,23,200.0
1770974963.0106106,24,200.0
1770974963.8495982,25,200.0
1770974964.6925342,26,200.0
1770974965.50877,27,200.0
1770974966.3427234,28,200.0
1770974967.163566,29,200.0
1770974968.047842,30,200.0
1770974968.9565244,31,198.0
1770974969.7899776,32,200.0
1770974970.6632612,33,200.0
1770974971.562471,34,200.0
1770974972.510357,35,200.0
1770974973.3641741,36,200.0
1770974974.2655835,37,200.0
1770974975.1113157,38,200.0
1770974975.9146519,39,200.0
1770974976.7674534,40,200.0
1770974977.6095817,41,200.0
1770974978.4144673,42,200.0
1770974979.255258,43,200.0
1770974980.0963554,44,200.0
1770974980.908356,45,200.0
1770974981.7718246,46,200.0
1770974982.628393,47,200.0
1770974983.4842849,48,200.0
1770974984.3136544,49,200.0
1770974985.1671343,50,200.0
1770974986.0207665,51,200.0
1770974986.8350198,52,200.0
1770974987.681863,53,200.0
1770974988.650979,54,200.0
1770974989.575135,55,200.0
1770974990.446726,56,200.0
1770974991.3017895,57,200.0
1770974992.1298811,58,200.0
1770974993.0230172,59,200.0
1770974993.8992612,60,200.0
1770974995.2833154,61,200.0
1770974996.2451775,62,172.0
1770974997.246853,63,200.0
1770974998.184715,64,171.3333282470703
1770974999.097444,65,200.0
1770975000.0903685,66,200.0
1770975000.9804144,67,200.0
1770975001.7940586,68,200.0
1770975002.6051862,69,200.0
1770975003.4247336,70,200.0
1770975004.2397535,71,200.0
1770975005.0757344,72,200.0
1770975005.9460964,73,200.0
1770975006.8173459,74,200.0
1770975007.723531,75,200.0
1770975008.6062098,76,200.0
1770975009.4402585,77,200.0
1770975010.2927456,78,200.0
1770975011.2405705,79,200.0
1770975012.063136,80,200.0
1770975012.8802383,81,200.0
1770975013.7060301,82,200.0
1770975014.621651,83,200.0
1770975015.4588315,84,200.0
1770975016.3056283,85,200.0
1770975017.146346,86,200.0
1770975018.0411751,87,200.0
1770975018.8727727,88,200.0
1770975019.7029238,89,200.0
1770975020.6003485,90,200.0
1770975021.4712422,91,200.0
1770975022.305325,92,200.0
1770975023.1517572,93,200.0
1770975023.9830816,94,200.0
1770975024.7977057,95,200.0
1770975025.6288397,96,200.0
1770975026.4327438,97,200.0
1770975027.2543488,98,200.0
1770975028.0694447,99,200.0
