Wall time,Step,Std Return
1770782758.847264,0,780.6015014648438
1770782761.2880871,1,69.79269409179688
1770782763.784489,2,94.70042419433594
1770782766.301142,3,88.87664794921875
1770782768.7573,4,114.52511596679688
1770782771.18891,5,65.47221374511719
1770782773.6665149,6,63.9913215637207
1770782776.169065,7,992.3234252929688
1770782778.625952,8,132.3616943359375
1770782781.183831,9,148.20677185058594
1770782783.72876,10,1080.8824462890625
1770782786.2106519,11,79.00611114501953
1770782788.728171,12,89.26785278320312
1770782791.3160682,13,54.740325927734375
1770782793.902703,14,72.6809310913086
1770782796.482733,15,137.38185119628906
1770782799.0210612,16,71.14763641357422
1770782801.841884,17,843.9957275390625
1770782804.512147,18,1038.1607666015625
1770782807.088366,19,78.22962188720703
1770782809.669424,20,74.02155303955078
1770782812.2924612,21,67.76078796386719
1770782814.981097,22,76.36160278320312
1770782817.826708,23,484.1583251953125
1770782820.470894,24,89.16282653808594
1770782823.133394,25,103.26591491699219
1770782825.816416,26,126.41989135742188
1770782828.533984,27,118.8560791015625
1770782831.163457,28,118.08860778808594
1770782833.809927,29,668.92431640625
1770782836.519021,30,102.5712890625
1770782839.343381,31,491.4691162109375
1770782843.2197802,32,1184.197509765625
1770782845.9352472,33,87.85334014892578
1770782848.776596,34,1035.9263916015625
1770782851.5004969,35,60.93311309814453
1770782854.244328,36,635.96337890625
1770782857.0256598,37,60.042884826660156
1770782859.815551,38,85.81896209716797
1770782862.573979,39,100.7768783569336
1770782865.4185421,40,120.05003356933594
1770782868.1903229,41,42.65060043334961
1770782871.103798,42,71.3926773071289
1770782874.040468,43,93.63751220703125
1770782876.879796,44,109.82577514648438
1770782879.80447,45,95.99069213867188
1770782882.6481621,46,117.12883758544922
1770782885.501776,47,104.17887878417969
1770782888.3457768,48,164.1158905029297
1770782891.324801,49,570.2262573242188
